Table;Colonne;Libelle;Type_source;Type_cible_DW;Role_DW;Nb_lignes;Pct_manquant;Nb_valeurs_distinctes;Longueur_min;Longueur_max;Valeur_min;Valeur_max;Regle_transformation;Probleme_qualite
DIS_PLV;inseecommuneprinc;Code INSEE de la commune principale de l UDI;VARCHAR (fichier plat);VARCHAR(5);Cle etrangere -> DIM_GEOGRAPHIE;4 060 859;0.00 %;34 915;5;5;1001;99004;Commune PRINCIPALE de l UDI, pas la commune du point de prelevement.;PQ-07
DIS_PLV;nomcommuneprinc;Nom de la commune principale;VARCHAR (fichier plat);VARCHAR(50);Attribut degrade;4 060 859;0.00 %;32 669;1;45;AAST;ÉTERNOZ-VALLÉE-DU-LISON;Trim. Non retenu comme cle.;PQ-09
DIS_PLV;cdreseauamont;Code du reseau amont (production ou transport);VARCHAR (fichier plat);VARCHAR(9);Attribut de la table pont RESEAU_AMONT;4 060 859;52.76 %;23 791;9;9;1000205;976003913;27,4 pourcent des lignes pointent vers un code absent de COM_UDI.;PQ-02
DIS_PLV;nomreseauamont;Libelle du reseau amont;VARCHAR (fichier plat);VARCHAR(70);Attribut de la table pont RESEAU_AMONT;4 060 859;52.76 %;24 353;2;66;  MANCIOUX;ÉCHENOTS-CHANAYS;Trim.;PQ-10
DIS_PLV;pourcentdebit;Part du debit apportee par le reseau amont;VARCHAR (fichier plat);DECIMAL(5,2);Poids de l arc multiple RESEAU_AMONT;4 060 859;56.04 %;101;3;5;0%;99%;Texte 100 % -> retirer le signe et caster. Des valeurs 0 % existent (25 477).;PQ-03
DIS_PLV;referenceprel;Identifiant national du prelevement;VARCHAR (fichier plat);VARCHAR(11);CLE DEGENEREE du fait PRELEVEMENT;4 060 859;0.00 %;2 834 678;11;11;100086753;97600035292;Cle de dedoublonnage. Texte dans PLV, numerique dans RESULT -> forcer VARCHAR.;PQ-01
DIS_PLV;dateprel;Date du prelevement;VARCHAR (fichier plat);DATE;Cle etrangere -> DIM_TEMPS;4 060 859;0.00 %;2 811;10;10;02/01/2016;31/12/2025;Caster en DATE. Aucune valeur manquante, plage 2016-01-02 a 2025-12-31.;-
DIS_PLV;heureprel;Heure du prelevement;VARCHAR (fichier plat);TIME;Attribut de DIM_TEMPS (optionnel);4 060 859;0.14 %;1 092;5;5;  h  ;9:h54;Format NNhNN non respecte sur 5 941 lignes. Parser avec table de rejet.;PQ-04
DIS_PLV;conclusionprel;Conclusion sanitaire redigee par l ARS;VARCHAR (fichier plat);TEXT;Source de DIM_CONCLUSION (apres classification);4 060 859;0.00 %;140 609;1;3782;"	Eau d'ali mentation non conforme aux exigences de qualité en vigueur. La non-con formité porte sur au moins un paramètre microbiologique et n'a toutefo is pas nécessité de restriction de la  consommation de l'eau. Un nouve au contrôle a été programmé pour suivre l'évolution du paramètre et vé rifier le retour à une situation normale.Présence de sulfates à une co ncentration supérieure à l'exigence de qualité. L'utilisation de cette eau est déconseillée pour la boisson et la préparation des aliments p our les nourrissons, en raison d'éventuels effets laxatifs.  Il a été demandé à l'exploitant d'avertir la population concernée. Un contrôle renforcé a été mis en place pour suivre l'évolution de ce paramètre.Il a été demandé à l'exploitant de prendre les mesures correctives néces saires pour rétablir la qualité de l'eau.	";•La radioactivité naturelle de l'eau, du fait des caractéristiques géo logiques du sous-sol, est stable mais supérieure à la valeur de référe nce fixée à 0,10 mSv par an. Conformément à la circulaire DGS/EA4 2007 -232 du 3 juin 2007, la DI étant comprise entre 0,1 mSv/an et 0,3 mSv/ an avec un très faible dépassement observé (0,02 mSv/an), les actions destinées à corriger la qualité de l'eau  ne seront pas nécessairement recommandées sauf si des solutions simples et sans difficultés techni co-économiques existent.;Texte libre jusqu a 3 782 caracteres, 140 609 variantes. Classifier en 5 a 8 modalites.;PQ-08
DIS_PLV;ugelib;Libelle de l unite de gestion et d exploitation;VARCHAR (fichier plat);VARCHAR(40);Attribut de DIM_RESEAU_UDI;4 060 859;0.00 %;11 077;2;35;"	SMAEPA ENTRE BRESLE ET YERES";ZUANI;44 560 lignes avec espaces ou tabulations parasites -> trim obligatoire.;PQ-10
DIS_PLV;distrlib;Libelle du distributeur;VARCHAR (fichier plat);VARCHAR(70);Niveau hierarchique de DIM_RESEAU_UDI;4 060 859;0.00 %;7 047;3;70;* SIAEP DIEUE-GENICOURT (HS);ZONE DE LOISIRS LES 3 LACS;Trim et deduplication des raisons sociales (7 047 variantes).;PQ-10
DIS_PLV;moalib;Libelle du maitre d ouvrage;VARCHAR (fichier plat);VARCHAR(70);Niveau hierarchique de DIM_RESEAU_UDI;4 060 859;0.00 %;8 804;3;70;* SIAEP DIEUE-GENICOURT (HS);ZONE DE LOISIRS LES 3 LACS;Trim et deduplication (8 804 variantes).;PQ-10
DIS_PLV;plvconformitebacterio;Conformite aux limites de qualite bacteriologiques;VARCHAR (fichier plat);CHAR(1);MESURE (flag) du fait PRELEVEMENT;4 060 859;0.00 %;3;1;1;C;S;Codes C/N/S. Mesure = 1 si N, 0 si C, NULL sinon. S exclu du denominateur.;PQ-11
DIS_PLV;plvconformitechimique;Conformite aux limites de qualite chimiques;VARCHAR (fichier plat);CHAR(1);MESURE (flag) du fait PRELEVEMENT;4 060 859;0.00 %;4;1;1;C;S;Codes C/N/D/S. D = derogation (3 906 lignes) : traitement a decider et a tracer.;PQ-11
DIS_PLV;plvconformitereferencebact;Conformite aux references de qualite bacteriologiques;VARCHAR (fichier plat);CHAR(1);MESURE (flag) du fait PRELEVEMENT;4 060 859;0.00 %;3;1;1;C;S;Reference de qualite = seuil indicatif, ne vaut pas non-conformite reglementaire.;PQ-11
DIS_PLV;plvconformitereferencechim;Conformite aux references de qualite chimiques;VARCHAR (fichier plat);CHAR(1);MESURE (flag) du fait PRELEVEMENT;4 060 859;0.00 %;4;1;1;C;S;Idem colonne precedente.;PQ-11
DIS_RESULT;cddept;Code departement;VARCHAR (fichier plat);VARCHAR(3);Cle etrangere -> DIM_GEOGRAPHIE;125 167 285;0.00 %;~88;3;3;1;976;Redondant avec PLV : utiliser celui de PLV apres jointure.;PQ-05
DIS_RESULT;referenceprel;Identifiant du prelevement parent;VARCHAR (fichier plat);VARCHAR(11);Cle etrangere -> fait PRELEVEMENT;125 167 285;0.00 %;~4 166 649;11;11;100086753;97600035292;Lu en entier 64 bits par defaut -> forcer VARCHAR sinon jointure fausse en silence.;PQ-01
DIS_RESULT;cdparametresiseeaux;Code SISE-Eaux du parametre;VARCHAR (fichier plat);VARCHAR(9);CLE de DIM_PARAMETRE;125 167 285;0.00 %;~1 769;1;9;004THIONA;ZYGOPHY;Cle naturelle retenue (1 769 modalites), plus fine que cdparametre.;-
DIS_RESULT;cdparametre;Code parametre du referentiel national;VARCHAR (fichier plat);VARCHAR(5);Attribut de DIM_PARAMETRE;125 167 285;0.10 %;~1 628;1;5;0;99999;1 628 modalites et 0,10 pourcent de valeurs nulles -> non retenu comme cle.;PQ-12
DIS_RESULT;libmajparametre;Libelle du parametre en majuscules;VARCHAR (fichier plat);VARCHAR(70);Attribut de DIM_PARAMETRE;125 167 285;0.00 %;~1 628;3;67;% DE COLONIES DE CHLOROPHYCÉES;ÉTAIN DISSOUS;Redondant avec libminparametre. Ne charger qu un seul libelle.;-
DIS_RESULT;libminparametre;Libelle du parametre;VARCHAR (fichier plat);VARCHAR(70);Attribut de DIM_PARAMETRE;125 167 285;0.00 %;~1 914;2;70;% de colonies de chlorophycées;équilibre calcocarbonique équilibrant;Libelle retenu. 1 914 variantes pour 1 769 codes -> SCD type 1.;PQ-10
DIS_RESULT;libwebparametre;Libelle web du parametre;VARCHAR (fichier plat);VARCHAR(35);Rejete (colonne vide);125 167 285;100.00 %;~2;1;33;-;dalapon sous produit désinfection;Vide sur la quasi-totalite des lignes. A ne pas charger.;PQ-12
DIS_RESULT;qualitparam;Indicateur de parametre qualitatif;VARCHAR (fichier plat);CHAR(1);Attribut de DIM_PARAMETRE;125 167 285;0.00 %;~2;1;1;N;O;O = resultat qualitatif (odeur, aspect) : valtraduite non exploitable.;PQ-13
DIS_RESULT;insituana;Analyse realisee in situ (T) ou en laboratoire (L);VARCHAR (fichier plat);CHAR(1);Attribut de DIM_PARAMETRE;125 167 285;0.00 %;~2;1;1;L;T;Conserver tel quel.;-
DIS_RESULT;rqana;Resultat brut rendu par le laboratoire;VARCHAR (fichier plat);VARCHAR(35);Attribut technique du fait ANALYSE;125 167 285;0.08 %;~48 773;1;35;0,97;ù0,05;Mixte : numerique, censure, texte. Valeurs corrompues observees. Ne pas caster directement.;PQ-14
DIS_RESULT;cdunitereferencesiseeaux;Unite de mesure SISE-Eaux;VARCHAR (fichier plat);VARCHAR(24);Attribut de DIM_PARAMETRE;125 167 285;0.00 %;~72;1;24;%;µg/l;72 modalites avec doublons de casse -> normaliser.;PQ-10
DIS_RESULT;cdunitereference;Code unite du referentiel national;VARCHAR (fichier plat);VARCHAR(3);Attribut de DIM_PARAMETRE;125 167 285;0.00 %;~63;1;3;0;X;63 modalites. Conserver comme code technique.;-
DIS_RESULT;limitequal;Limite de qualite reglementaire (seuil opposable);VARCHAR (fichier plat);VARCHAR(28);Source des attributs de DIM_SEUIL;125 167 285;43.70 %;~42;7;28;<=0 NPP/100mL;<=700 µg/L;Texte a parser en operateur, borne min, borne max, unite. Absent sur 43,70 pourcent.;PQ-15
DIS_RESULT;refqual;Reference de qualite (seuil indicatif);VARCHAR (fichier plat);VARCHAR(21);Source des attributs de DIM_SEUIL;125 167 285;80.28 %;~43;5;21;<=0 NPP/100mL;>=6,5 et <=9 unité pH;Idem, avec des intervalles a deux bornes. Absent sur 80,28 pourcent.;PQ-15
DIS_RESULT;valtraduite;Valeur numerique normalisee dans l unite de reference;VARCHAR (fichier plat);DECIMAL(18,6);MESURE du fait ANALYSE;125 167 285;0.83 %;~30 804;8;15;-0.003000;999.000000;Vaut 0 pour tous les resultats censures. Ne jamais moyenner sans traiter la censure.;PQ-16
DIS_RESULT;casparam;Numero CAS de la substance;VARCHAR (fichier plat);VARCHAR(12);Attribut de DIM_PARAMETRE;125 167 285;42.01 %;~994;7;12;100-00-5;999-81-5;Cle de rapprochement avec les referentiels pesticides externes. Absent sur 42,01 pourcent.;-
DIS_RESULT;referenceanl;Identifiant de l analyse (laboratoire);VARCHAR (fichier plat);VARCHAR(11);Cle degeneree du fait ANALYSE;125 167 285;11.73 %;~3 302 727;11;11;100092710;97600048062;Absent sur 11,73 pourcent -> cle primaire = referenceprel + cdparametresiseeaux.;PQ-12
IFT_SOLAGRO;insee_com;Code INSEE de la commune;VARCHAR (fichier plat);VARCHAR(5);Cle etrangere -> DIM_GEOGRAPHIE;89 199;0.00 %;34 806;5;5;1001;95690;Cle de jointure avec SISE-Eaux. Taux de rapprochement mesure : 99,6 pourcent.;PQ-05
IFT_SOLAGRO;year;Annee de reference (2020, 2021, 2022);VARCHAR (fichier plat);SMALLINT;Cle etrangere -> DIM_TEMPS (niveau annee);89 199;0.00 %;3;4;4;2020;2022;2021 ne couvre que 19 587 communes contre 34 806 : annee partielle.;PQ-17
IFT_SOLAGRO;nom;Nom de la commune;VARCHAR (fichier plat);VARCHAR(50);Attribut degrade;89 199;14.04 %;26 828;1;45;Abainville;Œuilly;Trim. Non retenu comme cle.;PQ-09
IFT_SOLAGRO;nom_m;Nom de la commune en majuscules;VARCHAR (fichier plat);VARCHAR(50);Rejete (redondant);89 199;14.04 %;26 782;1;45;ABAINVILLE;ŒUILLY;Doublon de nom. Ne pas charger.;PQ-12
IFT_SOLAGRO;insee_dep;Code departement;VARCHAR (fichier plat);VARCHAR(2);Niveau DIM_GEOGRAPHIE;89 199;0.00 %;96;2;2;1;95;Format a 2 caracteres cote Solagro contre 3 cote SISE-Eaux : harmonisation obligatoire.;PQ-18
IFT_SOLAGRO;nom_dep;Nom du departement;VARCHAR (fichier plat);VARCHAR(30);Attribut de DIM_GEOGRAPHIE;89 199;0.81 %;94;3;23;Ain;Yvelines;Source de reference retenue pour le libelle departement.;-
IFT_SOLAGRO;insee_reg;Code region (decoupage post-2016);VARCHAR (fichier plat);VARCHAR(2);Niveau DIM_GEOGRAPHIE;89 199;14.04 %;12;2;2;11;93;Retenu comme niveau region du DW.;-
IFT_SOLAGRO;nom_reg;Nom de la region;VARCHAR (fichier plat);VARCHAR(30);Attribut de DIM_GEOGRAPHIE;89 199;14.04 %;12;8;26;Auvergne-Rhône-Alpes;Île-de-France;Source de reference retenue pour le libelle region.;-
IFT_SOLAGRO;insee_reg_ancien;Code region (decoupage pre-2016);VARCHAR (fichier plat);VARCHAR(2);Attribut historique de DIM_GEOGRAPHIE;89 199;20.33 %;20;2;2;11;93;Coexistence de deux decoupages -> hierarchie geographique temporellement variable.;PQ-19
IFT_SOLAGRO;siren_epci;Code SIREN de l EPCI de rattachement;VARCHAR (fichier plat);VARCHAR(9);Niveau optionnel de DIM_GEOGRAPHIE;89 199;14.04 %;1 088;2;19;200000172;NR;Sentinelle NR sur 10 lignes -> NULL.;PQ-06
IFT_SOLAGRO;code_bv;Code du bassin de vie;VARCHAR (fichier plat);VARCHAR(3);Niveau optionnel de DIM_GEOGRAPHIE;89 199;20.33 %;21;3;4;BV1;BV9;Codes BV1 a BV9. Axe d analyse complementaire au departement.;-
IFT_SOLAGRO;population;Population communale;VARCHAR (fichier plat);INTEGER;MESURE du fait PRESSION_AGRICOLE;89 199;14.42 %;5 071;3;9;0.0;9998.0;Stocke en decimal dans la source -> arrondir. Sert a ponderer les indicateurs.;-
IFT_SOLAGRO;statut;Statut administratif de la commune;VARCHAR (fichier plat);VARCHAR(20);Attribut de DIM_GEOGRAPHIE;89 199;14.42 %;5;10;20;Capitale d'état;Sous-préfecture;Commune simple, Sous-prefecture, Capitale d etat. NULL sur 12 865 lignes.;PQ-06
IFT_SOLAGRO;insee_can;Code canton;VARCHAR (fichier plat);VARCHAR(2);Rejete (qualite insuffisante);89 199;14.42 %;49;2;2;1;NR;Sentinelle NR sur 119 lignes, granularite non utilisee dans le workload.;PQ-06
IFT_SOLAGRO;insee_arr;Code arrondissement;VARCHAR (fichier plat);VARCHAR(2);Rejete (granularite non utilisee);89 199;14.42 %;9;1;1;1;9;Non retenu dans le DW.;-
IFT_SOLAGRO;surf_com_ha;Surface communale totale en hectares;VARCHAR (fichier plat);DECIMAL(12,4);MESURE du fait PRESSION_AGRICOLE;89 199;20.33 %;28 579;7;18;100.75139999999396;999.9549264999896;Denominateur de p_sau. Caster en decimal.;-
IFT_SOLAGRO;sau;Surface agricole utile en hectares;VARCHAR (fichier plat);DECIMAL(12,4);MESURE du fait PRESSION_AGRICOLE;89 199;21.18 %;68 454;3;20;0.019999999552965164;999.9998779296875;Absent quand la commune n a pas de SAU significative : manquant legitime, ne pas imputer.;PQ-20
IFT_SOLAGRO;sau_bio_0;Surface agricole conduite en agriculture biologique (ha);VARCHAR (fichier plat);DECIMAL(12,4);MESURE du fait PRESSION_AGRICOLE;89 199;43.26 %;25 421;3;20;0.009999999776482582;998.2999951171874;Numerateur de p_bio.;PQ-20
IFT_SOLAGRO;p_sau;Part de la SAU dans la surface communale (pourcent);VARCHAR (fichier plat);DECIMAL(6,3);MESURE du fait PRESSION_AGRICOLE;89 199;21.18 %;69 873;12;20;0.002551489927805513;99.93185269470852;Indicateur d intensite agricole. Variable explicative centrale des besoins ML.;PQ-20
IFT_SOLAGRO;p_bio;Part de la SAU en agriculture biologique (pourcent);VARCHAR (fichier plat);DECIMAL(6,3);MESURE du fait PRESSION_AGRICOLE;89 199;43.26 %;50 530;4;21;0.0003079978082461051;99.99999142379276;Variable explicative. Manquant correle a sau.;PQ-20
IFT_SOLAGRO;p_bc;Part des traitements relevant du biocontrole (pourcent);VARCHAR (fichier plat);DECIMAL(6,3);MESURE du fait PRESSION_AGRICOLE;89 199;23.94 %;59 371;3;22;0.0;9.999494278841336;Definition a confirmer dans le guide methodologique Solagro.;PQ-21
IFT_SOLAGRO;ift_t;Indice de frequence de traitement total;VARCHAR (fichier plat);DECIMAL(8,4);MESURE du fait PRESSION_AGRICOLE;89 199;21.18 %;67 822;3;22;0.0;9.985067399893339;Mesure principale de l axe pression agricole.;PQ-20
IFT_SOLAGRO;ift_t_hbc;IFT total hors produits de biocontrole;VARCHAR (fichier plat);DECIMAL(8,4);MESURE du fait PRESSION_AGRICOLE;89 199;21.18 %;67 820;3;22;0.0;9.994935411622702;Mesure recommandee pour l analyse de pression chimique de synthese.;PQ-21
IFT_SOLAGRO;ift_h;IFT herbicides;VARCHAR (fichier plat);DECIMAL(8,4);MESURE du fait PRESSION_AGRICOLE;89 199;21.18 %;67 664;3;22;-0.0008265520261669714;9.985517302428692e-06;Famille la plus susceptible d etre retrouvee dans les eaux distribuees.;PQ-20
IFT_SOLAGRO;ift_t_hh;IFT total hors herbicides;VARCHAR (fichier plat);DECIMAL(8,4);MESURE du fait PRESSION_AGRICOLE;89 199;21.18 %;67 775;3;22;0.0;9.994636301993886;Complement de ift_h pour la comparaison par famille.;PQ-20
IFT_SOLAGRO;ift_HHhbc;IFT hors herbicides et hors biocontrole;VARCHAR (fichier plat);DECIMAL(8,4);MESURE du fait PRESSION_AGRICOLE;89 199;21.18 %;67 820;3;22;0.0;9.98913625441298;Definition a confirmer dans le guide Solagro.;PQ-21
IFT_SOLAGRO;IFTbc;IFT des produits de biocontrole;VARCHAR (fichier plat);DECIMAL(8,4);MESURE du fait PRESSION_AGRICOLE;89 199;21.18 %;59 839;3;22;0.0;9.990310985655282e-06;Nommage en majuscules incoherent avec le reste du fichier -> renommer ift_bc.;PQ-22
IFT_SOLAGRO;ift_t_hbc_dif;Variation de ift_t_hbc entre les deux millesimes;VARCHAR (fichier plat);DECIMAL(8,4);MESURE semi-additive du fait PRESSION_AGRICOLE;89 199;52.94 %;40 590;3;23;-0.000322659170277701;995.629718186451;Renseignee uniquement sur le millesime 2022 : absente sur 52,94 pourcent des lignes.;PQ-23
IFT_SOLAGRO;ift_h_dif;Variation de l IFT herbicides;VARCHAR (fichier plat);DECIMAL(8,4);MESURE semi-additive;89 199;52.94 %;40 499;3;23;-0.0006859507722020166;99.96052411276793;Idem : uniquement sur 2022.;PQ-23
IFT_SOLAGRO;ift_HHhbc_dif;Variation de l IFT hors herbicides hors biocontrole;VARCHAR (fichier plat);DECIMAL(8,4);MESURE semi-additive;89 199;52.94 %;40 592;3;23;-0.0011900647258071462;99.99999999999996;Idem : uniquement sur 2022.;PQ-23
IFT_SOLAGRO;IFTbc_dif;Variation de l IFT biocontrole;VARCHAR (fichier plat);DECIMAL(8,4);MESURE semi-additive;89 199;52.94 %;34 308;3;23;-0.0002745153220770949;999.8703364146202;Idem : uniquement sur 2022.;PQ-23
IFT_SOLAGRO;sau_dif;Variation de la SAU;VARCHAR (fichier plat);DECIMAL(12,4);MESURE semi-additive;89 199;52.94 %;32 326;3;23;-0.0001220703125;99.789794921875;Idem : uniquement sur 2022.;PQ-23
IFT_SOLAGRO;p_sau_dif;Variation de la part de SAU;VARCHAR (fichier plat);DECIMAL(6,3);MESURE semi-additive;89 199;52.94 %;41 557;3;23;-0.00014919468440233175;9.939332452219205;Idem : uniquement sur 2022.;PQ-23
IFT_SOLAGRO;p_bio_dif;Variation de la part de bio;VARCHAR (fichier plat);DECIMAL(6,3);MESURE semi-additive;89 199;52.94 %;30 572;3;23;-0.00010043347398247526;99.14740377199206;Idem : uniquement sur 2022.;PQ-23
IFT_SOLAGRO;p_bc_dif;Variation de la part de biocontrole;VARCHAR (fichier plat);DECIMAL(6,3);MESURE semi-additive;89 199;52.94 %;37 837;3;23;-0.00012203673778188318;9.934855392528739;Idem : uniquement sur 2022.;PQ-23
IFT_SOLAGRO;c_maj;Code de la culture majoritaire de la commune;VARCHAR (fichier plat);VARCHAR(5);CLE de DIM_CULTURE;89 199;21.18 %;87;3;5;ART;Vigne;87 modalites. Axe d analyse du fait PRESSION_AGRICOLE.;-
IFT_SOLAGRO;lib_c_maj;Libelle de la culture majoritaire;VARCHAR (fichier plat);VARCHAR(50);Attribut de DIM_CULTURE;89 199;20.33 %;81;3;49;Artichaut;Épeautre;81 libelles pour 87 codes -> verifier la table de correspondance.;PQ-10
IFT_SOLAGRO;cult_ifthbc;Code de la culture contribuant le plus a l IFT hors biocontrole;VARCHAR (fichier plat);VARCHAR(6);Attribut de DIM_CULTURE;89 199;21.18 %;58;3;6;AGR;Vigne;Definition a confirmer dans le guide Solagro.;PQ-21
IFT_SOLAGRO;lib_c_hbc;Libelle de cette culture;VARCHAR (fichier plat);VARCHAR(40);Attribut de DIM_CULTURE;89 199;20.33 %;50;4;39;Agrume;Vigne;Trim.;-
IFT_SOLAGRO;cult_ifth;Code de la culture contribuant le plus a l IFT herbicides;VARCHAR (fichier plat);VARCHAR(6);Attribut de DIM_CULTURE;89 199;20.33 %;55;3;6;AGR;Vigne;Definition a confirmer dans le guide Solagro.;PQ-21
IFT_SOLAGRO;lib_c_h;Libelle de cette culture;VARCHAR (fichier plat);VARCHAR(40);Attribut de DIM_CULTURE;89 199;20.33 %;47;3;39;Agrume;Vigne;Trim.;-
IFT_SOLAGRO;couleur_t_hbc;Code couleur hexadecimal pour la cartographie;VARCHAR (fichier plat);CHAR(7);Rejete (donnee de presentation);89 199;0.00 %;11;7;7;#0e6900;#ffffc0;Artefact de la carte Solagro, sans valeur analytique. Ne pas charger.;PQ-24
IFT_SOLAGRO;couleur_h;Code couleur hexadecimal pour la cartographie;VARCHAR (fichier plat);CHAR(7);Rejete (donnee de presentation);89 199;0.00 %;7;7;7;#0e6900;#ffffc0;Idem.;PQ-24
IFT_SOLAGRO;couleur_bio;Code couleur hexadecimal pour la cartographie;VARCHAR (fichier plat);CHAR(7);Rejete (donnee de presentation);89 199;0.00 %;12;7;7;#003716;#ffffff;Idem.;PQ-24
IFT_SOLAGRO;id;Identifiant technique de la commune;VARCHAR (fichier plat);VARCHAR(24);Rejete (identifiant interne);89 199;20.33 %;28 579;24;24;COMMUNE_0000000009728905;COMMUNE_0000002340820110;Remplace par la cle de substitution du DW.;PQ-12
IFT_SOLAGRO;id_admin_commune;Identifiant administratif interne;VARCHAR (fichier plat);VARCHAR(24);Rejete (identifiant interne);89 199;14.42 %;28 410;24;24;COMMUNE_0000000009729098;COMMUNE_0000002340820110;Remplace par la cle de substitution du DW.;PQ-12
